Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
outputs | fastq | CM_50_R2	94.04154961329033	52.0	298.0	298	54.54545454545454	86499.0
outputs | fastq | CM_52_R1	98.38047750706966	53.0	294.0	294	36.36363636363637	126951.0
outputs | fastq | CM_55_R2	95.10441221992048	52.0	297.0	297	45.45454545454545	125991.0
outputs | fastq | CM_58_R1	98.61856152343013	52.0	300.0	300	36.36363636363637	132543.0
outputs | fastq | CM_61_R1	98.8188580230191	52.0	294.0	294	36.36363636363637	129197.0
outputs | fastq | CM_61_R2	95.90857372849214	52.0	296.0	296	54.54545454545454	129197.0
outputs | fastq | CM_64_R2	90.01624575395067	53.0	294.0	294	54.54545454545454	81252.0
outputs | fastq | CM_66_R1	97.86183418727003	57.0	293.0	293	36.36363636363637	145405.0
outputs | fastq | CM_71_R2	90.83941396150531	54.0	299.0	299	54.54545454545454	87025.0
outputs | fastq | CM_74_R2	92.21617774162388	54.0	296.0	296	45.45454545454545	98345.0
outputs | fastq | CM_75_R2	91.44619038918326	53.0	294.0	294	54.54545454545454	109460.0
outputs | fastq | CM_77_R1	97.2868881218738	55.0	294.0	294	36.36363636363637	122553.0
outputs | fastq | CM_77_R2	93.51627459140127	55.0	300.0	300	54.54545454545454	122553.0
outputs | fastq | CM_7_R2	93.55546175304654	53.0	296.0	296	45.45454545454545	108976.0
outputs | fastq | CM_8_R1	96.45263595189122	54.0	300.0	300	36.36363636363637	98693.0
outputs | fastq | CM_8_R2	92.00652528548125	54.0	300.0	300	45.45454545454545	98693.0
outputs | fastq | CM_9_R1	95.95716308830978	53.0	298.0	298	36.36363636363637	96739.0
outputs | fastq | F2_R1	97.24076420496776	53.0	293.0	293	36.36363636363637	141271.0
outputs | fastq | F3_R1	97.39698788304769	56.0	297.0	297	36.36363636363637	166461.0
outputs | fastq | F4_R1	97.9135272163932	53.0	294.0	294	36.36363636363637	142010.0
outputs | fastq | F4_R2	93.90887965636223	51.0	300.0	300	54.54545454545454	142010.0
outputs | fastq | F6_R1	96.84030220536506	53.0	294.0	294	36.36363636363637	98079.0
outputs | fastq | F7_R1	98.1105418528736	52.0	298.0	298	36.36363636363637	134483.0
