Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
outputs | fastq | CM_315_R1	CM_315_R1.fastq.gz	Conventional base calls	Illumina 1.5	120693.0	35.3 Mbp	0.0	293.0	54.0	3.100428359556892	293.0	293	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_315_R2	CM_315_R2.fastq.gz	Conventional base calls	Illumina 1.5	120693.0	36.2 Mbp	0.0	300.0	54.0	6.779183548341661	300.0	300	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_34_R1	CM_34_R1.fastq.gz	Conventional base calls	Illumina 1.5	80142.0	23.5 Mbp	0.0	294.0	56.0	3.199321204861371	294.0	294	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_34_R2	CM_34_R2.fastq.gz	Conventional base calls	Illumina 1.5	80142.0	23.4 Mbp	0.0	293.0	56.0	8.541089566020315	293.0	293	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_38_R2	CM_38_R2.fastq.gz	Conventional base calls	Illumina 1.5	90632.0	26.9 Mbp	0.0	297.0	55.0	7.512799011386706	297.0	297	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_42_R1	CM_42_R1.fastq.gz	Conventional base calls	Illumina 1.5	130033.0	38.8 Mbp	0.0	299.0	55.0	3.4975736928318195	299.0	299	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_45_R1	CM_45_R1.fastq.gz	Conventional base calls	Illumina 1.5	116262.0	34.1 Mbp	0.0	294.0	53.0	1.4888785673736904	294.0	294	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_50_R2	CM_50_R2.fastq.gz	Conventional base calls	Illumina 1.5	86499.0	25.7 Mbp	0.0	298.0	52.0	5.958450386709673	298.0	298	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_52_R1	CM_52_R1.fastq.gz	Conventional base calls	Illumina 1.5	126951.0	37.3 Mbp	0.0	294.0	53.0	1.6195224929303431	294.0	294	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_55_R2	CM_55_R2.fastq.gz	Conventional base calls	Illumina 1.5	125991.0	37.4 Mbp	0.0	297.0	52.0	4.895587780079529	297.0	297	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_58_R1	CM_58_R1.fastq.gz	Conventional base calls	Illumina 1.5	132543.0	39.7 Mbp	0.0	300.0	52.0	1.381438476569868	300.0	300	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_61_R1	CM_61_R1.fastq.gz	Conventional base calls	Illumina 1.5	129197.0	37.9 Mbp	0.0	294.0	52.0	1.1811419769808897	294.0	294	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_61_R2	CM_61_R2.fastq.gz	Conventional base calls	Illumina 1.5	129197.0	38.2 Mbp	0.0	296.0	52.0	4.091426271507852	296.0	296	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_64_R2	CM_64_R2.fastq.gz	Conventional base calls	Illumina 1.5	81252.0	23.8 Mbp	0.0	294.0	53.0	9.983754246049328	294.0	294	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_66_R1	CM_66_R1.fastq.gz	Conventional base calls	Illumina 1.5	145405.0	42.6 Mbp	0.0	293.0	57.0	2.1381658127299614	293.0	293	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_71_R2	CM_71_R2.fastq.gz	Conventional base calls	Illumina 1.5	87025.0	26 Mbp	0.0	299.0	54.0	9.160586038494685	299.0	299	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_74_R2	CM_74_R2.fastq.gz	Conventional base calls	Illumina 1.5	98345.0	29.1 Mbp	0.0	296.0	54.0	7.783822258376125	296.0	296	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_75_R2	CM_75_R2.fastq.gz	Conventional base calls	Illumina 1.5	109460.0	32.1 Mbp	0.0	294.0	53.0	8.553809610816737	294.0	294	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_77_R1	CM_77_R1.fastq.gz	Conventional base calls	Illumina 1.5	122553.0	36 Mbp	0.0	294.0	55.0	2.7131118781261985	294.0	294	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_77_R2	CM_77_R2.fastq.gz	Conventional base calls	Illumina 1.5	122553.0	36.7 Mbp	0.0	300.0	55.0	6.483725408598728	300.0	300	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_7_R2	CM_7_R2.fastq.gz	Conventional base calls	Illumina 1.5	108976.0	32.2 Mbp	0.0	296.0	53.0	6.444538246953457	296.0	296	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_8_R1	CM_8_R1.fastq.gz	Conventional base calls	Illumina 1.5	98693.0	29.6 Mbp	0.0	300.0	54.0	3.547364048108782	300.0	300	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_8_R2	CM_8_R2.fastq.gz	Conventional base calls	Illumina 1.5	98693.0	29.6 Mbp	0.0	300.0	54.0	7.99347471451876	300.0	300	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_9_R1	CM_9_R1.fastq.gz	Conventional base calls	Illumina 1.5	96739.0	28.8 Mbp	0.0	298.0	53.0	4.042836911690218	298.0	298	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | F2_R1	F2_R1.fastq.gz	Conventional base calls	Illumina 1.5	141271.0	41.3 Mbp	0.0	293.0	53.0	2.759235795032243	293.0	293	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | F3_R1	F3_R1.fastq.gz	Conventional base calls	Illumina 1.5	166461.0	49.4 Mbp	0.0	297.0	56.0	2.603012116952319	297.0	297	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | F4_R1	F4_R1.fastq.gz	Conventional base calls	Illumina 1.5	142010.0	41.7 Mbp	0.0	294.0	53.0	2.086472783606788	294.0	294	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | F4_R2	F4_R2.fastq.gz	Conventional base calls	Illumina 1.5	142010.0	42.6 Mbp	0.0	300.0	51.0	6.0911203436377725	300.0	300	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | F6_R1	F6_R1.fastq.gz	Conventional base calls	Illumina 1.5	98079.0	28.8 Mbp	0.0	294.0	53.0	3.1596977946349374	294.0	294	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | F7_R1	F7_R1.fastq.gz	Conventional base calls	Illumina 1.5	134483.0	40 Mbp	0.0	298.0	52.0	1.8894581471264025	298.0	298	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
