Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
outputs | fastq | CM_231_R1	CM_231_R1.fastq.gz	Conventional base calls	Illumina 1.5	81932.0	24 Mbp	0.0	293.0	53.0	2.561880583898843	293.0	293	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_231_R2	CM_231_R2.fastq.gz	Conventional base calls	Illumina 1.5	81932.0	24 Mbp	0.0	294.0	54.0	6.422399062637309	294.0	294	pass	warn	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_234_R2	CM_234_R2.fastq.gz	Conventional base calls	Illumina 1.5	168396.0	49.6 Mbp	0.0	295.0	54.0	7.466329366493266	295.0	295	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_238_R1	CM_238_R1.fastq.gz	Conventional base calls	Illumina 1.5	133331.0	39.5 Mbp	0.0	297.0	57.0	1.9762845849802373	297.0	297	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_238_R2	CM_238_R2.fastq.gz	Conventional base calls	Illumina 1.5	133331.0	39.5 Mbp	0.0	297.0	56.0	5.557597257952014	297.0	297	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_239_R2	CM_239_R2.fastq.gz	Conventional base calls	Illumina 1.5	101950.0	30 Mbp	0.0	295.0	54.0	8.294261893084846	295.0	295	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_24_R1	CM_24_R1.fastq.gz	Conventional base calls	Illumina 1.5	92684.0	27.8 Mbp	0.0	300.0	52.0	3.015622976997108	300.0	300	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_25_R1	CM_25_R1.fastq.gz	Conventional base calls	Illumina 1.5	89214.0	26.5 Mbp	0.0	298.0	52.0	3.3873607281368394	298.0	298	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_25_R2	CM_25_R2.fastq.gz	Conventional base calls	Illumina 1.5	89214.0	26.6 Mbp	0.0	299.0	52.0	8.990741363463133	299.0	299	pass	warn	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_26_R1	CM_26_R1.fastq.gz	Conventional base calls	Illumina 1.5	115186.0	33.7 Mbp	0.0	293.0	54.0	3.20177799385342	293.0	293	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
